Frame;Timestamp;Real Hand Position;Real Hand Rotation;Virtual Hand Position;Virtual Hand Rotation;Target;Redirection Technique;Target Real Position;Target Real Rotation;Target Virtual Position;Target Virtual Rotation;Body Position;Body Rotation;
761;04.05.2021 19:32:18 195;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
762;04.05.2021 19:32:18 207;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
763;04.05.2021 19:32:18 218;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
764;04.05.2021 19:32:18 229;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
765;04.05.2021 19:32:18 239;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
766;04.05.2021 19:32:18 250;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
767;04.05.2021 19:32:18 262;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
768;04.05.2021 19:32:18 274;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
769;04.05.2021 19:32:18 285;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
770;04.05.2021 19:32:18 295;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
771;04.05.2021 19:32:18 307;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
772;04.05.2021 19:32:18 318;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
773;04.05.2021 19:32:18 329;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
774;04.05.2021 19:32:18 340;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
775;04.05.2021 19:32:18 351;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
776;04.05.2021 19:32:18 363;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
777;04.05.2021 19:32:18 374;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
778;04.05.2021 19:32:18 384;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
779;04.05.2021 19:32:18 396;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
780;04.05.2021 19:32:18 407;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
781;04.05.2021 19:32:18 417;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
782;04.05.2021 19:32:18 429;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
783;04.05.2021 19:32:18 440;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
784;04.05.2021 19:32:18 452;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
785;04.05.2021 19:32:18 463;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
786;04.05.2021 19:32:18 474;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
787;04.05.2021 19:32:18 484;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
788;04.05.2021 19:32:18 497;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
789;04.05.2021 19:32:18 507;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
790;04.05.2021 19:32:18 518;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
791;04.05.2021 19:32:18 530;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
792;04.05.2021 19:32:18 540;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
793;04.05.2021 19:32:18 552;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
794;04.05.2021 19:32:18 563;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
795;04.05.2021 19:32:18 574;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
796;04.05.2021 19:32:18 585;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
797;04.05.2021 19:32:18 597;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
798;04.05.2021 19:32:18 607;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
799;04.05.2021 19:32:18 619;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
800;04.05.2021 19:32:18 630;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
801;04.05.2021 19:32:18 641;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
802;04.05.2021 19:32:18 653;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
803;04.05.2021 19:32:18 664;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
804;04.05.2021 19:32:18 675;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
805;04.05.2021 19:32:18 687;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
806;04.05.2021 19:32:18 698;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
807;04.05.2021 19:32:18 708;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
808;04.05.2021 19:32:18 719;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
809;04.05.2021 19:32:18 731;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
810;04.05.2021 19:32:18 741;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
811;04.05.2021 19:32:18 754;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
812;04.05.2021 19:32:18 764;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
813;04.05.2021 19:32:18 775;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
814;04.05.2021 19:32:18 786;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
815;04.05.2021 19:32:18 797;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
816;04.05.2021 19:32:18 808;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
817;04.05.2021 19:32:18 820;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
818;04.05.2021 19:32:18 831;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
819;04.05.2021 19:32:18 842;(1.1, 0.7, 1.0);(0.0, -0.7, -0.7, 0.0);(1.4, 0.7, 1.0);(0.0, 0.0, 0.0, 1.0);VirtualCube(right) (HR_Toolkit.RedirectionObject);BodyWarping_Azmandian;(0.0, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(0.2, 0.9, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
